#3
S
#3
sid,name,age
#500
0,a421,77
1,a82,78
2,a267,74
3,a220,47
4,a278,69
5,a189,68
6,a436,76
7,a417,87
8,a398,20
9,a131,52
10,a256,75
11,a280,72
12,a410,78
13,a98,81
14,a278,22
15,a104,29
16,a45,59
17,a239,48
18,a145,37
19,a403,42
20,a4,30
21,a13,66
22,a252,84
23,a96,88
24,a52,85
25,a299,46
26,a355,84
27,a324,86
28,a332,83
29,a424,81
30,a314,52
31,a374,85
32,a395,89
33,a124,29
34,a54,86
35,a289,36
36,a447,24
37,a15,53
38,a366,63
39,a412,74
40,a296,58
41,a118,82
42,a421,49
43,a189,71
44,a175,48
45,a180,82
46,a282,64
47,a471,20
48,a107,83
49,a323,57
50,a0,87
51,a228,64
52,a73,87
53,a234,66
54,a92,24
55,a96,39
56,a255,65
57,a464,64
58,a80,54
59,a253,58
60,a298,68
61,a292,65
62,a360,26
63,a147,49
64,a458,21
65,a332,56
66,a455,38
67,a328,88
68,a5,63
69,a143,63
70,a136,77
71,a446,63
72,a269,87
73,a81,58
74,a490,71
75,a424,39
76,a168,43
77,a174,49
78,a8,26
79,a242,25
80,a235,26
81,a291,69
82,a277,53
83,a132,43
84,a289,86
85,a313,65
86,a225,34
87,a89,88
88,a229,81
89,a440,90
90,a374,63
91,a316,38
92,a460,46
93,a325,89
94,a92,30
95,a480,64
96,a437,34
97,a395,90
98,a349,77
99,a308,87
100,a384,74
101,a445,29
102,a73,90
103,a30,41
104,a27,82
105,a354,54
106,a283,57
107,a348,63
108,a469,40
109,a304,46
110,a266,35
111,a234,39
112,a81,69
113,a166,86
114,a86,76
115,a167,66
116,a260,59
117,a351,65
118,a115,75
119,a61,24
120,a157,73
121,a383,39
122,a362,82
123,a395,85
124,a309,31
125,a255,76
126,a330,80
127,a148,63
128,a442,71
129,a214,38
130,a114,75
131,a225,58
132,a481,67
133,a395,24
134,a245,69
135,a353,34
136,a163,80
137,a221,32
138,a33,53
139,a280,90
140,a179,34
141,a48,21
142,a1,25
143,a385,28
144,a112,34
145,a120,37
146,a168,67
147,a204,51
148,a191,80
149,a358,80
150,a51,35
151,a147,74
152,a254,58
153,a452,28
154,a159,59
155,a128,71
156,a3,60
157,a98,50
158,a463,26
159,a48,56
160,a35,48
161,a307,64
162,a313,24
163,a379,27
164,a378,64
165,a298,62
166,a467,56
167,a367,32
168,a159,65
169,a473,75
170,a456,86
171,a230,85
172,a7,22
173,a473,70
174,a57,84
175,a167,75
176,a275,51
177,a4,46
178,a129,43
179,a274,52
180,a471,51
181,a10,39
182,a487,20
183,a268,54
184,a334,71
185,a429,39
186,a107,39
187,a7,82
188,a418,45
189,a68,78
190,a466,43
191,a165,40
192,a497,79
193,a262,39
194,a210,86
195,a98,36
196,a236,34
197,a427,76
198,a395,73
199,a463,47
200,a159,75
201,a461,87
202,a268,30
203,a303,76
204,a234,51
205,a181,58
206,a181,39
207,a46,63
208,a327,66
209,a444,53
210,a194,49
211,a273,89
212,a255,84
213,a468,41
214,a137,81
215,a419,71
216,a462,40
217,a136,53
218,a82,88
219,a50,86
220,a174,87
221,a227,44
222,a499,52
223,a183,36
224,a50,66
225,a176,48
226,a358,58
227,a409,44
228,a392,85
229,a308,52
230,a130,82
231,a114,86
232,a471,37
233,a349,54
234,a156,69
235,a331,21
236,a79,79
237,a306,79
238,a210,51
239,a189,30
240,a68,83
241,a21,71
242,a336,58
243,a74,57
244,a132,23
245,a213,42
246,a124,62
247,a7,56
248,a245,43
249,a52,80
250,a367,47
251,a66,38
252,a113,50
253,a66,72
254,a275,83
255,a77,84
256,a154,87
257,a144,88
258,a235,83
259,a449,62
260,a213,40
261,a233,75
