# 5
S.sname,S.age,S.sid,R.sid,B.bcolor
# 4103
K,62,5368,5368,blue
M,57,8611,8611,blue
J,48,8650,8650,blue
Q,56,7784,7784,blue
R,51,3043,3043,blue
Z,47,9001,9001,blue
D,48,8407,8407,blue
N,44,9273,9273,blue
T,23,2937,2937,blue
C,55,312,312,blue
Z,42,9775,9775,blue
T,25,9049,9049,blue
X,44,9810,9810,blue
H,68,8829,8829,blue
T,29,4085,4085,blue
M,35,1028,1028,blue
O,48,2288,2288,blue
W,53,5629,5629,blue
D,45,3930,3930,blue
L,57,5653,5653,blue
W,64,8114,8114,blue
O,69,4681,4681,blue
B,55,1304,1304,blue
B,46,6005,6005,blue
P,58,1732,1732,blue
X,24,233,233,blue
P,62,4244,4244,blue
K,46,2207,2207,blue
K,46,7953,7953,blue
L,36,1531,1531,blue
I,57,3969,3969,blue
U,24,2551,2551,blue
Q,25,3792,3792,blue
G,40,9302,9302,blue
P,63,75,75,blue
U,28,9766,9766,blue
U,28,5904,5904,blue
H,24,4324,4324,blue
I,67,1142,1142,blue
A,34,3794,3794,blue
R,49,4282,4282,blue
I,28,6914,6914,blue
V,39,2059,2059,blue
P,30,1663,1663,blue
D,35,3978,3978,blue
H,40,5116,5116,blue
V,35,4854,4854,blue
E,59,7724,7724,blue
O,62,3704,3704,blue
C,49,9317,9317,blue
B,67,8614,8614,blue
U,22,3986,3986,blue
I,24,7851,7851,blue
J,44,7264,7264,blue
T,42,8877,8877,blue
I,21,3424,3424,blue
C,31,8527,8527,blue
X,27,4109,4109,blue
W,47,8051,8051,blue
Z,35,8157,8157,blue
K,31,8723,8723,blue
K,31,9395,9395,blue
C,22,3411,3411,blue
S,29,4271,4271,blue
F,61,9964,9964,blue
B,33,8132,8132,blue
K,69,5442,5442,blue
J,68,1066,1066,blue
J,62,5522,5522,blue
B,48,8063,8063,blue
B,47,9089,9089,blue
K,47,3868,3868,blue
B,26,1237,1237,blue
R,46,2524,2524,blue
X,65,9490,9490,blue
V,56,5320,5320,blue
V,56,4160,4160,blue
H,39,2500,2500,blue
I,30,3363,3363,blue
H,43,5216,5216,blue
O,60,4594,4594,blue
K,59,5496,5496,blue
S,32,1825,1825,blue
H,57,3818,3818,blue
J,49,4285,4285,blue
S,43,330,330,blue
Y,45,3996,3996,blue
C,32,8500,8500,blue
K,48,5411,5411,blue
Z,44,3261,3261,blue
L,40,9392,9392,blue
S,45,494,494,blue
N,27,5509,5509,blue
U,42,4060,4060,blue
U,42,2028,2028,blue
F,63,3943,3943,blue
F,63,4799,4799,blue
N,69,4452,4452,blue
Z,21,2658,2658,blue
V,31,4097,4097,blue
B,29,9107,9107,blue
W,48,3779,3779,blue
X,64,6849,6849,blue
A,65,4857,4857,blue
V,27,8174,8174,blue
O,40,925,925,blue
J,63,7687,7687,blue
G,31,4381,4381,blue
O,39,3382,3382,blue
B,38,3132,3132,blue
X,52,5505,5505,blue
G,57,6428,6428,blue
Q,47,4112,4112,blue
H,48,8554,8554,blue
W,29,5298,5298,blue
L,24,6361,6361,blue
Z,56,2101,2101,blue
V,42,9227,9227,blue
R,41,9815,9815,blue
J,36,1993,1993,blue
V,63,6537,6537,blue
V,22,9811,9811,blue
I,66,1753,1753,blue
A,35,2045,2045,blue
S,22,38,38,blue
E,60,6216,6216,blue
W,62,4317,4317,blue
