# 2
S.sname,S.age
# 1193
I,52
W,37
T,69
F,57
U,36
B,23
O,53
V,56
R,23
W,63
F,31
Q,34
H,37
B,49
O,47
S,47
Y,54
X,24
I,64
Z,40
H,27
C,53
K,37
M,47
N,39
R,43
G,37
J,56
Z,50
A,62
L,38
Q,30
X,62
P,51
K,59
S,27
G,63
J,34
T,61
A,36
I,21
Z,28
W,68
E,35
G,25
A,66
I,59
D,46
V,27
F,62
B,30
Y,21
V,49
I,33
D,52
W,48
Q,37
C,20
B,56
Y,63
S,36
O,38
X,31
G,66
A,31
Q,63
C,50
B,34
M,38
S,58
N,46
R,32
J,65
L,33
Z,59
T,26
Y,64
X,53
P,40
K,50
M,28
N,20
J,43
G,54
T,36
A,35
I,28
X,68
F,65
L,21
D,23
P,28
F,39
U,22
B,25
Y,30
V,46
I,40
D,61
W,41
U,48
H,51
Y,56
O,33
X,22
Q,54
H,41
C,43
B,45
N,53
U,67
M,61
R,57
S,51
L,40
X,44
Z,36
P,33
K,41
C,65
N,27
J,44
L,50
T,47
A,42
G,49
P,63
E,49
L,28
J,22
R,68
D,28
Q,68
P,21
F,44
O,30
V,39
I,47
D,58
F,50
U,59
M,69
O,56
Y,33
V,61
D,64
R,24
L,64
Z,67
F,24
Q,41
H,32
C,32
P,64
B,52
M,52
S,40
N,60
R,54
W,30
Z,45
C,62
K,32
N,34
M,42
R,44
X,57
L,61
O,69
A,49
J,53
Z,55
T,22
P,52
B,65
J,31
E,56
T,48
W,65
K,28
U,24
G,28
O,25
V,28
D,35
I,54
T,67
F,59
U,34
H,65
B,21
O,51
Y,42
V,58
W,61
Q,32
H,39
C,25
B,63
Y,52
O,45
S,33
X,26
I,66
Q,58
H,29
C,55
K,39
M,33
N,41
X,48
G,35
L,36
Z,48
J,62
E,25
R,37
Y,69
P,45
K,61
A,56
Q,28
S,29
J,32
G,61
Z,26
A,38
T,59
E,45
G,23
V,21
I,61
D,40
F,32
B,28
S,64
V,51
D,54
I,35
W,54
N,65
H,62
C,22
U,55
Y,61
S,38
O,36
G,64
V,64
A,25
Q,61
H,20
C,44
B,32
N,48
S,60
M,56
X,55
R,34
L,47
Z,57
T,24
Q,23
P,42
K,52
N,22
G,52
T,34
A,45
I,30
F,67
E,52
Q,67
P,30
F,41
U,20
Y,28
V,40
W,47
M,64
H,53
U,62
Y,38
O,63
R,29
D,69
E,65
F,21
H,43
P,69
B,43
C,37
N,55
S,53
M,63
U,65
W,27
Z,34
P,35
K,43
M,21
J,50
E,21
L,48
A,52
T,45
G,47
P,57
B,68
E,51
J,20
Z,22
L,26
D,30
P,23
F,46
U,31
V,33
W,32
F,52
Y,47
O,54
V,63
R,26
W,58
Z,65
F,26
Q,47
H,34
C,34
B,50
P,66
M,54
N,62
S,42
X,37
R,48
Z,43
A,21
H,24
C,56
K,34
N,36
M,44
X,59
E,28
J,59
Z,53
A,51
T,20
Q,27
R,46
P,54
K,56
G,38
L,59
J,29
Z,31
T,62
K,30
E,32
G,26
O,23
V,30
I,56
D,45
T,65
F,61
U,32
H,67
O,49
Y,40
V,52
W,51
Q,38
H,57
C,27
Y,50
I,68
X,28
W,21
V,69
A,28
Q,56
H,31
C,49
M,35
S,57
R,39
X,50
L,34
Z,62
T,31
A,58
J,60
E,27
Y,67
K,63
P,47
S,31
J,38
G,59
Z,24
A,32
X,65
I,25
T,57
K,21
G,21
L,22
V,23
I,63
D,42
F,34
U,43
B,26
S,66
V,45
I,37
D,48
W,52
K,65
U,53
H,48
N,67
O,34
Y,59
A,27
V,66
Q,51
H,22
C,46
B,46
N,50
M,58
S,62
R,60
X,41
J,69
Z,39
Q,21
P,36
K,54
C,68
N,24
S,20
G,50
L,55
T,32
A,47
J,47
