# 3
bid,bname,bcolor
# 20000
1,ll,violet
2,tt,white
3,ss,grey
4,ss,violet
5,xx,pink
6,rr,white
7,hh,red
8,xx,green
9,cc,white
10,yy,orange
11,oo,orange
12,cc,violet
13,aa,violet
14,ee,pink
15,xx,grey
16,ee,violet
17,cc,white
18,aa,black
19,ll,brown
20,pp,white
21,jj,grey
22,hh,black
23,qq,black
24,uu,black
25,ss,red
26,mm,black
27,ff,violet
28,qq,pink
29,vv,brown
30,oo,pink
31,gg,violet
32,bb,grey
33,pp,pink
34,ll,pink
35,zz,white
36,uu,black
37,xx,grey
38,gg,green
39,kk,pink
40,hh,pink
41,dd,violet
42,bb,brown
43,aa,violet
44,uu,red
45,xx,black
46,nn,white
47,hh,pink
48,hh,grey
49,ii,brown
50,uu,violet
51,uu,red
52,gg,green
53,ii,black
54,ii,brown
55,tt,grey
56,jj,green
57,oo,pink
58,rr,black
59,xx,black
60,kk,orange
61,yy,black
62,ww,pink
63,aa,green
64,yy,green
65,cc,brown
66,vv,white
67,yy,black
68,zz,red
69,ss,violet
70,nn,pink
71,pp,violet
72,jj,grey
73,ww,grey
74,aa,white
75,dd,red
76,nn,red
77,ll,green
78,aa,grey
79,ff,white
80,dd,green
81,hh,black
82,ss,violet
83,qq,brown
84,ff,black
85,uu,orange
86,oo,violet
87,ss,orange
88,bb,violet
89,aa,grey
90,ww,orange
91,ee,grey
92,zz,red
93,hh,pink
94,cc,pink
95,ii,white
96,ww,black
97,uu,black
98,nn,black
99,hh,grey
100,uu,red
101,ff,pink
102,tt,white
103,ll,white
104,kk,brown
105,bb,red
106,kk,pink
107,qq,grey
108,yy,brown
109,ff,orange
110,qq,brown
111,tt,black
112,yy,black
113,tt,black
114,ff,black
115,cc,orange
116,rr,white
117,rr,brown
118,kk,grey
119,rr,grey
120,qq,pink
121,jj,black
122,ss,black
123,ee,green
124,oo,black
125,ll,orange
126,ee,orange
127,vv,brown
128,hh,brown
129,vv,white
130,uu,green
131,jj,red
132,ss,black
133,kk,brown
134,cc,pink
135,cc,white
136,ee,pink
137,aa,brown
138,nn,grey
139,rr,orange
140,bb,orange
141,uu,violet
142,ww,grey
143,nn,red
144,tt,pink
145,oo,white
146,oo,green
147,rr,white
148,kk,black
149,nn,black
150,ww,black
151,aa,pink
